,Income Class,Rural,Suburban,Urban
0,"Less than $10,000",10750.599999999999,11226.220000000001,10007.03
1,"$10,000 to $14,999",9670.369999999999,10835.755000000001,10128.08
2,"$15,000 to $24,999",10446.71,11728.515,11020.28
3,"$25,000 to $34,999",10741.119999999999,11692.865000000002,11765.54
4,"$35,000 to $49,999",11839.385,11574.835,10288.33
5,"$50,000 to $74,999",12627.015,12492.615,11502.96
6,"$75,000 to $99,999",12982.91,11990.0,11359.21
7,"$100,000 to $124,999",13170.880000000001,12785.6,11074.35
8,"$125,000 to $149,999",14343.775,12868.305,11426.46
9,"$150,000 to $199,999",14023.740000000002,12042.235,10541.3
10,"$200,000 or more",12756.6,11707.795,10834.84
